val_acc,test_acc,peak_memory_usage,model_size,inference_latency
0.9424071907997131,0.9359918236732483,505720,801228,445689951
0.7070866227149963,0.6916155219078064,122582,136780,23129852
0.08931383490562439,0.08568507432937622,183616,1645,511806
0.8571428656578064,0.8382412791252136,889840,93405,58250396
0.8292463421821594,0.8143149018287659,537040,150032,61414374
0.4195725619792938,0.40593045949935913,57810,41456,222388
0.9399325251579285,0.9384458065032959,547800,406551,212053653
0.08931383490562439,0.08568507432937622,4230,39914,152208
0.7466816902160645,0.7249488830566406,98136,545986,3338168
0.8681665062904358,0.8535787463188171,622752,355596,694839055
0.8384702205657959,0.8237218856811523,228000,2828518,4651944
0.8956130743026733,0.8936605453491211,323760,95494,66264688
0.08931383490562439,0.08568507432937622,3925,1028,63459
0.7973003387451172,0.7815951108932495,199656,10974,6260134
0.30686163902282715,0.29018405079841614,12970,10646,128205
0.8317210078239441,0.8175868988037109,401104,25910642,27857704
0.08931383490562439,0.08568507432937622,42300,14039,1245414
0.08931383490562439,0.08568507432937622,147000,4506,710538
0.33655792474746704,0.32126790285110474,906,1279,23334
0.08346457034349442,0.08343558013439178,29675,510885,20879180
0.08931383490562439,0.08568507432937622,5700,1258,27281
0.2825646698474884,0.2781186103820801,6512,1286,127326
0.4148481488227844,0.39468303322792053,2940,68987,74809
0.8803149461746216,0.8580777049064636,493920,16326714,128863152
0.36332958936691284,0.37791410088539124,6264,11407,294420
0.09133858233690262,0.08220858871936798,1062,11658,47128
0.08346457034349442,0.08691206574440002,372240,106777,34986055
0.08931383490562439,0.08568507432937622,14608,50162,277857
0.08346457034349442,0.08343558013439178,15949,42818,94809
0.6353206038475037,0.620858907699585,347900,11900557,12456872
0.1993250846862793,0.09631901979446411,277248,4324,6115472
0.7493813037872314,0.7202454209327698,230720,13495,984677
0.7318335175514221,0.7055214643478394,466248,162560,272878080
0.08931383490562439,0.08568507432937622,54720,40358,836452
0.16287964582443237,0.15889570116996765,377300,1358680,1962176
0.6924634575843811,0.673210620880127,112896,42810,1286534
0.8416197896003723,0.8351738452911377,885456,112049,140286088
0.08931383490562439,0.08568507432937622,1826,41767,63686
0.4902137219905853,0.46932515501976013,47970,995916,1076864
0.25174352526664734,0.24785275757312775,529200,6929,5679488
0.7714285850524902,0.7586911916732788,72842,6342,867366
0.35095614194869995,0.3439672887325287,426300,4628,1532016
0.6465691924095154,0.6151329278945923,84760,125808,525320
0.08931383490562439,0.08098159730434418,5905,52502,382573
0.08931383490562439,0.08568507432937622,340800,20927,15321464
0.08931383490562439,0.08343558013439178,1993,22787,97365
0.8593925833702087,0.8439672589302063,42624,81816,8067174
0.08368954062461853,0.08343558013439178,63522,26702,1486103
0.83937007188797,0.818200409412384,588000,513743,31321617
0.5214847922325134,0.49652352929115295,105840,37123,1330840
0.9250843524932861,0.9208589196205139,84960,109196,5263588
0.8850393891334534,0.8687116503715515,250880,36826,7742495
0.6805399060249329,0.6709611415863037,99104,129989,4471479
0.8706411719322205,0.864212691783905,127872,18041,1550535
0.20427446067333221,0.13087934255599976,395920,58887,5358041
0.8458942770957947,0.8349693417549133,305024,725009,2513720
0.08931383490562439,0.08568507432937622,6944,40263,250453
0.08931383490562439,0.08568507432937622,2840,3315,89651
0.7923509478569031,0.772188127040863,273600,399368,6444465
0.7736783027648926,0.7840490937232971,659616,126480,249968846
0.5658043026924133,0.5451942682266235,3186,8599,78911
0.08931383490562439,0.08568507432937622,1826,1939,41490
0.47199100255966187,0.4464212656021118,3600,15067,102990
0.7370078563690186,0.7114519476890564,29736,6750,676752
0.08931383490562439,0.08568507432937622,44100,18076,659922
0.42137232422828674,0.3961145281791687,3888,19569,56119
0.9167603850364685,0.9020450115203857,254768,123884,86299522
0.44161978363990784,0.4314928352832794,3600,715,99912
